"Date","Price","Open","High","Low","Vol.","Change %"
"11-05-2022","295.45","300.15","303.60","287.00","873.29K","-1.83%"
"10-05-2022","300.95","305.05","308.75","299.55","562.02K","-2.62%"
"09-05-2022","309.05","304.00","311.45","301.60","625.99K","1.39%"
"06-05-2022","304.80","306.10","309.45","301.35","741.27K","-1.99%"
"05-05-2022","311.00","318.20","320.95","310.15","548.69K","-1.54%"
"04-05-2022","315.85","323.35","325.00","314.00","612.43K","-2.32%"
"02-05-2022","323.35","321.85","328.80","316.05","699.89K","0.45%"
"29-04-2022","321.90","323.00","324.70","317.60","838.61K","0.11%"
"28-04-2022","321.55","323.00","324.00","315.55","1.02M","1.07%"
"27-04-2022","318.15","318.20","322.80","314.55","1.36M","-1.49%"
"26-04-2022","322.95","323.05","327.70","316.25","1.76M","0.03%"
"25-04-2022","322.85","342.50","342.50","321.85","1.84M","-6.52%"
"22-04-2022","345.35","349.40","353.90","341.55","1.92M","-1.27%"
"21-04-2022","349.80","347.40","350.90","344.30","599.96K","0.68%"
"20-04-2022","347.45","342.05","349.90","342.05","534.45K","1.76%"
"19-04-2022","341.45","348.50","350.00","333.10","543.96K","-0.76%"
"18-04-2022","344.05","351.65","351.65","343.00","543.92K","-2.38%"
"13-04-2022","352.45","345.45","356.75","345.40","3.59M","3.56%"
"12-04-2022","340.35","348.00","348.05","337.10","712.31K","-2.35%"
"11-04-2022","348.55","340.00","349.00","338.00","1.51M","2.89%"
"08-04-2022","338.75","337.00","340.80","333.80","890.13K","0.40%"
"07-04-2022","337.40","333.00","338.00","332.10","982.24K","1.20%"
"06-04-2022","333.40","332.00","335.00","327.00","732.42K","0.17%"
"05-04-2022","332.85","330.00","336.00","325.05","2.07M","2.40%"
"04-04-2022","325.05","323.50","326.80","321.25","797.43K","1.37%"
"01-04-2022","320.65","311.55","321.55","309.95","1.34M","3.39%"
"31-03-2022","310.15","312.50","314.30","308.20","1.15M","-0.34%"
"30-03-2022","311.20","310.00","312.50","310.00","722.63K","0.44%"
"29-03-2022","309.85","312.00","312.70","306.05","1.29M","-0.05%"
"28-03-2022","310.00","313.40","313.40","309.10","959.11K","-0.26%"
"25-03-2022","310.80","313.00","313.40","310.30","852.76K","-0.08%"
"24-03-2022","311.05","315.00","318.90","310.40","2.04M","0.02%"
"23-03-2022","311.00","313.10","314.50","310.00","1.05M","-0.64%"
"22-03-2022","313.00","313.25","315.00","311.45","1.18M","0.51%"
"21-03-2022","311.40","312.00","314.70","310.65","1.05M","0.44%"
"17-03-2022","310.05","312.05","314.90","309.10","1.30M","0.03%"
"16-03-2022","309.95","308.00","313.65","308.00","1.12M","1.46%"
"15-03-2022","305.50","310.90","311.85","305.00","973.92K","-1.40%"
"14-03-2022","309.85","313.00","315.00","309.10","855.69K","-1.05%"
"11-03-2022","313.15","315.05","315.10","309.30","1.37M","0.08%"
"10-03-2022","312.90","316.60","319.70","312.05","1.67M","-1.28%"
"09-03-2022","316.95","328.50","329.30","316.50","1.98M","-1.69%"
"08-03-2022","322.40","326.00","337.90","316.60","6.21M","0.92%"
"07-03-2022","319.45","322.10","330.70","315.50","3.37M","-0.58%"
"04-03-2022","321.30","340.00","349.90","318.00","4.49M","-5.61%"
"03-03-2022","340.40","360.00","371.70","336.85","8.39M","-3.23%"
"02-03-2022","351.75","311.40","360.00","311.40","9.27M","12.76%"
"28-02-2022","311.95","309.25","314.50","306.00","471.32K","0.52%"
"25-02-2022","310.35","302.25","312.00","302.25","378.00K","3.90%"
"24-02-2022","298.70","306.00","309.30","296.05","733.00K","-4.55%"
"23-02-2022","312.95","312.55","334.75","312.00","382.36K","1.21%"
"22-02-2022","309.20","308.70","311.05","299.55","627.97K","-1.01%"
"21-02-2022","312.35","315.00","316.45","310.80","230.96K","-1.54%"
"18-02-2022","317.25","316.55","319.50","316.00","231.66K","0.22%"
"17-02-2022","316.55","318.10","321.95","315.00","346.78K","-0.30%"
"16-02-2022","317.50","315.75","319.90","312.75","639.95K","0.76%"
"15-02-2022","315.10","315.00","316.35","309.75","480.79K","0.45%"
"14-02-2022","313.70","321.00","323.75","310.00","510.58K","-4.08%"
"11-02-2022","327.05","328.00","331.35","326.00","275.14K","-1.43%"
"10-02-2022","331.80","334.00","338.00","331.05","691.06K","0.03%"
"09-02-2022","331.70","329.90","334.50","326.05","434.76K","1.34%"
"08-02-2022","327.30","336.20","337.40","324.90","667.06K","-2.02%"
"07-02-2022","334.05","330.45","335.90","329.70","1.05M","1.33%"
